127.0.0.1 - - [16/Nov/2015:10:37:00 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Nov/2015:11:08:22 +0800] "GET /MyFirstJsp/first.jsp HTTP/1.1" 500 3556
0:0:0:0:0:0:0:1 - - [16/Nov/2015:11:09:04 +0800] "GET /MyFirstJsp/first.jsp HTTP/1.1" 500 311
0:0:0:0:0:0:0:1 - - [16/Nov/2015:11:09:07 +0800] "GET /MyFirstJsp/first.jsp HTTP/1.1" 500 311
0:0:0:0:0:0:0:1 - - [16/Nov/2015:11:09:09 +0800] "GET /MyFirstJsp/first.jsp HTTP/1.1" 500 311
0:0:0:0:0:0:0:1 - - [16/Nov/2015:11:11:40 +0800] "GET /MyFirstJsp/first.jsp HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [16/Nov/2015:11:12:28 +0800] "GET /MyFirstJsp/first.jsp HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [16/Nov/2015:11:12:28 +0800] "GET /MyFirstJsp/first.jsp HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [16/Nov/2015:11:12:28 +0800] "GET /MyFirstJsp/first.jsp HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:09:05 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:15:59 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:16:32 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:54 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:55 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:55 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:55 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:55 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:56 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:56 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:56 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:56 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:58 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:17:59 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:18:24 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:21:42 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:24:28 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:24:45 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:31:12 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:31:12 +0800] "GET /MyFirstJsp/24.png HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:31:12 +0800] "GET /MyFirstJsp/11.png HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:31:31 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:31:31 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 200 11010
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:31:31 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 200 11950
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:32:35 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:32:35 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:32:35 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:32:36 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:32:36 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:32:36 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:32:36 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:32:36 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:32:36 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:42 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:42 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:42 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:42 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:42 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:42 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:42 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:42 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:33:43 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:34:12 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:34:12 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:34:12 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:34:12 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:34:55 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:34:55 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:34:55 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:34:55 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:01 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:01 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:01 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:01 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:02 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:23 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:31 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:31 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:31 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:31 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:31 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:31 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:31 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:31 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:32 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:32 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:32 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:35:32 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:36:43 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:36:43 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:36:43 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:36:43 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:36:49 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:36:49 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:36:49 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:36:49 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:02 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:02 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:02 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:02 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:03 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:04 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:08 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:08 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:08 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:08 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:19 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:19 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:19 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:19 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:36 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:36 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:36 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:37:36 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:39:36 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:39:36 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:39:36 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:39:36 +0800] "GET /MyFirstJsp/img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:39:43 +0800] "GET /MyFirstJsp/work_1116.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:39:43 +0800] "GET /MyFirstJsp/css/layout.css HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [16/Nov/2015:14:39:43 +0800] "GET /MyFirstJsp/img/24.png HTTP/1.1" 304 -
